Date,Temperature,Snowfall,Activity,Visitors,Rating
2023-12-01 00:00:00,-0.0,1.9,Ice Skating,177,5
2023-12-01 01:00:00,-6.4,0.5,Skiing,65,3
2023-12-01 02:00:00,1.5,0.4,Ice Skating,72,5
2023-12-01 03:00:00,10.2,0.5,Ice Skating,112,2
2023-12-01 04:00:00,-7.3,4.4,Snowboarding,126,3
2023-12-01 05:00:00,-7.3,0.3,Ice Skating,176,4
2023-12-01 06:00:00,10.8,2.1,Skiing,16,5
2023-12-01 07:00:00,2.7,7.0,Snowboarding,151,5
2023-12-01 08:00:00,-9.7,1.7,Ice Skating,134,5
2023-12-01 09:00:00,0.4,7.2,Snowboarding,99,2
2023-12-01 10:00:00,-9.6,6.8,Skiing,155,3
2023-12-01 11:00:00,,1.4,Snowboarding,64,4
2023-12-01 12:00:00,-2.6,6.5,Ice Skating,124,2
2023-12-01 13:00:00,-24.1,6.9,Ice Skating,193,4
2023-12-01 14:00:00,-22.2,2.5,Skiing,194,1
2023-12-01 15:00:00,-10.6,1.2,Skiing,132,1
2023-12-01 16:00:00,-15.1,3.7,Snowboarding,125,4
2023-12-01 17:00:00,-1.9,12.7,Ice Skating,195,1
2023-12-01 18:00:00,-14.1,5.1,Skiing,124,3
2023-12-01 19:00:00,-19.1,0.9,Skiing,162,3
2023-12-01 20:00:00,9.7,5.7,Ice Skating,123,2
2023-12-01 21:00:00,-7.3,2.8,Skiing,105,4
2023-12-01 22:00:00,-4.3,4.5,Skiing,89,2
2023-12-01 23:00:00,-19.2,6.6,Ice Skating,12,3
2023-12-02 00:00:00,-10.4,3.6,Skiing,158,3
2023-12-02 01:00:00,-3.9,8.4,Ice Skating,169,3
2023-12-02 02:00:00,-16.5,6.4,Ice Skating,139,5
2023-12-02 03:00:00,-1.2,4.8,Snowboarding,120,1
2023-12-02 04:00:00,-11.0,0.8,Ice Skating,29,2
2023-12-02 05:00:00,-7.9,9.0,Skiing,124,2
2023-12-02 06:00:00,-11.0,13.7,Snowboarding,155,3
2023-12-02 07:00:00,13.5,0.7,Snowboarding,191,5
2023-12-02 08:00:00,-5.1,3.3,Skiing,84,2
2023-12-02 09:00:00,-15.6,1.5,Snowboarding,45,2
2023-12-02 10:00:00,3.2,7.0,Skiing,111,5
2023-12-02 11:00:00,-17.2,6.4,Snowboarding,85,3
2023-12-02 12:00:00,-2.9,0.8,Skiing,70,5
2023-12-02 13:00:00,-24.6,10.5,Ice Skating,69,1
2023-12-02 14:00:00,-18.3,1.0,Ice Skating,126,2
2023-12-02 15:00:00,-3.0,8.0,Snowboarding,45,1
2023-12-02 16:00:00,2.4,3.1,Snowboarding,181,2
2023-12-02 17:00:00,-3.3,2.0,Ice Skating,77,1
2023-12-02 18:00:00,-6.2,0.9,Skiing,53,2
2023-12-02 19:00:00,-8.0,0.9,Snowboarding,86,3
2023-12-02 20:00:00,-19.8,5.4,Ice Skating,99,4
2023-12-02 21:00:00,-12.2,4.0,Snowboarding,38,5
2023-12-02 22:00:00,-9.6,0.7,Ice Skating,185,2
2023-12-02 23:00:00,5.6,0.6,Ice Skating,173,5
2023-12-03 00:00:00,-1.6,0.4,Ice Skating,145,2
2023-12-03 01:00:00,-22.6,6.8,Skiing,142,4
2023-12-03 02:00:00,-1.8,6.2,Snowboarding,105,3
2023-12-03 03:00:00,-8.9,0.3,Skiing,184,3
2023-12-03 04:00:00,-11.8,4.1,Skiing,135,5
2023-12-03 05:00:00,1.1,0.4,Ice Skating,180,4
2023-12-03 06:00:00,5.3,11.7,Skiing,147,5
2023-12-03 07:00:00,4.3,11.9,Snowboarding,19,3
2023-12-03 08:00:00,-13.4,6.0,Snowboarding,143,1
2023-12-03 09:00:00,-8.1,13.0,Ice Skating,25,5
2023-12-03 10:00:00,-1.7,8.3,Ice Skating,197,2
2023-12-03 11:00:00,4.8,8.8,Snowboarding,35,3
2023-12-03 12:00:00,-9.8,4.2,Snowboarding,30,2
2023-12-03 13:00:00,,1.8,Ice Skating,109,4
2023-12-03 14:00:00,-16.1,1.2,Skiing,195,3
2023-12-03 15:00:00,-17.0,2.0,Snowboarding,178,3
2023-12-03 16:00:00,3.1,5.0,Ice Skating,115,5
2023-12-03 17:00:00,8.6,0.9,Ice Skating,39,5
2023-12-03 18:00:00,-5.7,1.5,Snowboarding,142,2
2023-12-03 19:00:00,5.0,3.2,Ice Skating,147,5
2023-12-03 20:00:00,-1.4,1.3,Snowboarding,104,1
2023-12-03 21:00:00,,4.4,Ice Skating,148,3
2023-12-03 22:00:00,-1.4,12.8,Ice Skating,144,4
2023-12-03 23:00:00,10.4,6.9,Skiing,196,3
2023-12-04 00:00:00,,5.5,Ice Skating,149,2
2023-12-04 01:00:00,,4.4,Snowboarding,73,5
2023-12-04 02:00:00,-31.2,3.3,Snowboarding,132,3
2023-12-04 03:00:00,3.2,1.0,Skiing,122,5
2023-12-04 04:00:00,-4.1,11.3,Snowboarding,50,2
2023-12-04 05:00:00,-8.0,1.4,Ice Skating,197,5
2023-12-04 06:00:00,-4.1,0.5,Skiing,37,4
2023-12-04 07:00:00,-24.9,6.9,Snowboarding,132,2
2023-12-04 08:00:00,-7.2,1.0,Ice Skating,89,3
2023-12-04 09:00:00,-1.4,2.3,Skiing,12,3
2023-12-04 10:00:00,9.8,0.1,Ice Skating,110,4
2023-12-04 11:00:00,-10.2,0.7,Snowboarding,41,1
2023-12-04 12:00:00,,1.0,Snowboarding,30,5
2023-12-04 13:00:00,-10.0,0.3,Snowboarding,130,3
2023-12-04 14:00:00,4.2,5.3,Snowboarding,64,4
2023-12-04 15:00:00,-1.7,9.1,Skiing,27,5
2023-12-04 16:00:00,-10.3,2.3,Snowboarding,62,2
2023-12-04 17:00:00,0.1,10.4,Skiing,121,4
2023-12-04 18:00:00,,1.2,Skiing,130,2
2023-12-04 19:00:00,4.7,2.0,Ice Skating,119,2
2023-12-04 20:00:00,-12.0,0.8,Snowboarding,84,2
2023-12-04 21:00:00,-8.3,4.8,Ice Skating,70,5
2023-12-04 22:00:00,-8.9,2.7,Ice Skating,187,1
2023-12-04 23:00:00,-19.6,4.8,Ice Skating,17,2
2023-12-05 00:00:00,-2.0,7.2,Ice Skating,21,3
2023-12-05 01:00:00,-2.4,3.9,Ice Skating,188,5
2023-12-05 02:00:00,-4.9,4.9,Snowboarding,50,5
2023-12-05 03:00:00,-7.3,13.7,Ice Skating,159,2
2023-12-05 04:00:00,-19.2,1.8,Skiing,136,3
2023-12-05 05:00:00,-9.2,2.2,Skiing,146,4
2023-12-05 06:00:00,-8.4,6.3,Snowboarding,87,5
2023-12-05 07:00:00,-13.0,4.7,Skiing,148,2
2023-12-05 08:00:00,-6.6,1.0,Ice Skating,150,2
2023-12-05 09:00:00,-1.0,2.4,Skiing,193,1
2023-12-05 10:00:00,13.9,3.2,Ice Skating,165,1
2023-12-05 11:00:00,-3.3,2.7,Snowboarding,98,4
2023-12-05 12:00:00,-2.4,1.0,Skiing,73,4
2023-12-05 13:00:00,-5.7,12.9,Skiing,73,4
2023-12-05 14:00:00,-24.2,7.2,Skiing,79,4
2023-12-05 15:00:00,-5.3,3.3,Snowboarding,64,2
2023-12-05 16:00:00,-4.4,5.7,Snowboarding,46,2
2023-12-05 17:00:00,19.6,11.4,Skiing,170,2
2023-12-05 18:00:00,-6.9,0.7,Snowboarding,34,3
2023-12-05 19:00:00,-2.0,1.4,Ice Skating,123,4
2023-12-05 20:00:00,-5.3,3.9,Snowboarding,32,3
2023-12-05 21:00:00,-16.7,8.0,Skiing,197,5
2023-12-05 22:00:00,6.4,0.2,Ice Skating,193,5
2023-12-05 23:00:00,2.5,20.7,Skiing,145,2
2023-12-06 00:00:00,2.9,3.0,Skiing,26,5
2023-12-06 01:00:00,-14.1,2.2,Skiing,104,2
2023-12-06 02:00:00,9.0,1.7,Snowboarding,99,4
2023-12-06 03:00:00,-19.0,1.0,Skiing,194,3
2023-12-06 04:00:00,0.9,7.8,Ice Skating,84,2
2023-12-06 05:00:00,16.9,15.6,Ice Skating,71,1
2023-12-06 06:00:00,-14.9,2.7,Ice Skating,20,1
2023-12-06 07:00:00,,15.2,Skiing,177,4
2023-12-06 08:00:00,-4.0,8.7,Ice Skating,177,3
2023-12-06 09:00:00,-10.0,3.3,Ice Skating,130,2
2023-12-06 10:00:00,-20.5,5.6,Ice Skating,65,4
2023-12-06 11:00:00,-4.3,2.9,Ice Skating,62,3
2023-12-06 12:00:00,-15.6,4.1,Snowboarding,94,1
2023-12-06 13:00:00,,0.3,Skiing,37,2
2023-12-06 14:00:00,-14.2,6.0,Skiing,95,3
2023-12-06 15:00:00,10.5,0.3,Ice Skating,179,5
2023-12-06 16:00:00,,8.5,Skiing,124,2
2023-12-06 17:00:00,-8.2,8.7,Ice Skating,55,5
2023-12-06 18:00:00,3.1,1.4,Ice Skating,27,4
2023-12-06 19:00:00,-17.3,2.0,Ice Skating,32,3
2023-12-06 20:00:00,-2.7,3.3,Skiing,163,3
2023-12-06 21:00:00,8.1,4.5,Snowboarding,108,3
2023-12-06 22:00:00,-21.1,1.7,Skiing,38,3
2023-12-06 23:00:00,-3.2,4.5,Skiing,61,2
